variant,mean_f1,std_f1,mean_recall,std_recall,mean_precision,mean_accuracy,min_subject_recall,n_subjects_recall_below_0_5,n_subjects_recall_zero
raw,0.9332418963008544,0.10057522281597547,0.9111471861471861,0.16503503852548826,0.9775641025641025,0.9744737180586521,0.5454545454545454,0,0
raw+z,0.8940518499890073,0.13747062470841967,0.8584415584415584,0.20648926540797666,0.9685064935064934,0.9610040444749328,0.36363636363636365,1,0
z,0.8804644913463154,0.11783284583067674,0.8732683982683982,0.16915665641478303,0.9192433791698498,0.9477676784999715,0.45454545454545453,1,0
mixed (V2-bucket),0.8468033284347969,0.1520815639890843,0.8384199134199134,0.2026312112285598,0.9109497645211931,0.9346386411707541,0.2727272727272727,1,0
pct,0.840519211637224,0.2251143246865018,0.8410173160173161,0.25228381454017473,0.8856292517006803,0.9363039501514893,0.1,1,0
robust_z,0.783116590651592,0.19068374505917862,0.8079004329004329,0.2846960476974818,0.8540582899826598,0.9118995455324986,0.2727272727272727,3,0
