n_features,mean_f1,std_f1,mean_recall,min_subject_recall,n_below_0_5,elapsed_sec
1,0.8919148194241473,0.07667089585992617,0.9294372294372294,0.7272727272727273,0,7.9
2,0.8840612082622658,0.07629898771782612,0.8904761904761903,0.7272727272727273,0,12.1
3,0.8860894391830605,0.09124865863855817,0.8768398268398269,0.5454545454545454,0,11.6
4,0.8789575806399116,0.08718515805910418,0.8844155844155843,0.6363636363636364,0,11.2
5,0.9177313067473251,0.10017306827910376,0.8976190476190476,0.5454545454545454,0,14.0
6,0.9045332198478171,0.08945863620302683,0.883982683982684,0.5454545454545454,0,12.4
7,0.9094098081643031,0.08217968067574802,0.8845238095238096,0.6363636363636364,0,9.5
8,0.918309597851932,0.09193699771236793,0.9035714285714286,0.6363636363636364,0,16.3
9,0.9092061070550773,0.08909104135940822,0.8964285714285715,0.6363636363636364,0,16.7
10,0.9162932514436274,0.09114624173700411,0.9041125541125542,0.6363636363636364,0,15.7
11,0.9104938628622838,0.09575201461625124,0.8916666666666667,0.6363636363636364,0,12.2
12,0.927995354687084,0.08282670270459948,0.9106060606060608,0.6363636363636364,0,13.4
13,0.929732664995823,0.08801198647819679,0.9111471861471861,0.6363636363636364,0,11.6
14,0.9279233712300075,0.09279145593051188,0.9111471861471861,0.6363636363636364,0,114.8
15,0.9273150825782405,0.08992718509776067,0.9111471861471861,0.6363636363636364,0,30.1
16,0.9296714007240323,0.0859429249379622,0.9176406926406927,0.6363636363636364,0,43.2
17,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,35.5
18,0.9178625836299431,0.10525188591325138,0.9046536796536796,0.5454545454545454,0,15.5
19,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,13.2
20,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,10.9
21,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,12.3
22,0.9230364309466477,0.10324299687920292,0.9106060606060605,0.5454545454545454,0,19.1
23,0.9199411928514095,0.10269770978477111,0.9046536796536796,0.5454545454545454,0,9.0
24,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,9.2
25,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,11.6
26,0.9199411928514095,0.10269770978477111,0.9046536796536796,0.5454545454545454,0,14.0
27,0.9199411928514095,0.10269770978477111,0.9046536796536796,0.5454545454545454,0,12.2
28,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,11.3
29,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,12.2
30,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,15.0
31,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,24.1
32,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,24.4
33,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,29.2
