,median,mean,min,max,std,default,median_vs_default
learning_rate,0.09202539840525675,0.12405078226728186,0.007287112575728065,0.49196311507405277,0.13373082647617182,0.05,0.04202539840525675
max_iter,752.5,682.7142857142857,120.0,999.0,257.57521039686446,300.0,452.5
max_depth,6.5,6.928571428571429,2.0,12.0,3.2454532862093446,4.0,2.5
min_samples_leaf,9.5,13.071428571428571,5.0,25.0,8.014067302267602,20.0,-10.5
l2_regularization,0.06116434064531187,0.8860978067296216,1.885837197638795e-05,6.229119789473843,1.8691968144638433,0.0,0.06116434064531187
max_leaf_nodes,92.0,83.07142857142857,10.0,178.0,49.891365501941834,31.0,61.0
max_features,0.5999672777532219,0.5835470272178551,0.3018426509321036,0.9995690770128904,0.20629090718661203,1.0,-0.4000327222467781
