model,mean_f1,std_f1,mean_recall,mean_precision,mean_accuracy,mean_roc_auc,min_subject_recall,n_below_0_5
HGB,0.931297957779603,0.09357017012685395,0.9106060606060605,0.9720695970695971,0.9729588263876979,0.9967672757146441,0.5454545454545454,0
LightGBM,0.9206214649602531,0.09659703872468482,0.9041125541125542,0.9607371794871795,0.9672690504773339,0.9970468937574201,0.5454545454545454,0
XGBoost,0.915584834923623,0.09863588105377522,0.9041125541125542,0.9526785714285715,0.9644679300291544,0.995404441457073,0.5454545454545454,0
RandomForest,0.8762572168455484,0.11660706877960962,0.8335497835497836,0.961258979116122,0.952564233900247,0.9923759265864529,0.5,0
SVM-RBF,0.8458876348079855,0.10232432196621832,0.858982683982684,0.8597112446377152,0.9308887475963029,0.9777120619225882,0.5454545454545454,0
LogReg,0.7674481772033835,0.14602888828244626,0.8532467532467533,0.7308959536992055,0.8817336098573169,0.9628642003642004,0.45454545454545453,1
