threshold,f1,recall,precision
0.0,0.36449704142011835,1.0,0.22286541244573083
0.0001,0.6905829596412556,1.0,0.5273972602739726
0.001,0.8292682926829268,0.9935064935064936,0.7116279069767442
0.01,0.8764705882352941,0.9675324675324676,0.8010752688172043
0.025,0.8990825688073395,0.9545454545454546,0.8497109826589595
0.05,0.9006211180124224,0.9415584415584416,0.8630952380952381
0.1,0.9201277955271565,0.935064935064935,0.9056603773584906
0.15,0.9225806451612903,0.9285714285714286,0.9166666666666666
0.2,0.9315960912052117,0.9285714285714286,0.934640522875817
0.25,0.9311475409836065,0.922077922077922,0.9403973509933775
0.3,0.9311475409836065,0.922077922077922,0.9403973509933775
0.35,0.9337748344370861,0.9155844155844156,0.9527027027027027
0.39999999999999997,0.9368770764119602,0.9155844155844156,0.9591836734693877
0.44999999999999996,0.94,0.9155844155844156,0.9657534246575342
0.49999999999999994,0.9364548494983278,0.9090909090909091,0.9655172413793104
0.5499999999999999,0.9364548494983278,0.9090909090909091,0.9655172413793104
0.6,0.9328859060402684,0.9025974025974026,0.9652777777777778
0.65,0.9328859060402684,0.9025974025974026,0.9652777777777778
0.7,0.9328859060402684,0.9025974025974026,0.9652777777777778
0.75,0.9328859060402684,0.9025974025974026,0.9652777777777778
0.7999999999999999,0.9328859060402684,0.9025974025974026,0.9652777777777778
0.85,0.9324324324324325,0.8961038961038961,0.971830985915493
0.9,0.9324324324324325,0.8961038961038961,0.971830985915493
0.95,0.9288135593220339,0.8896103896103896,0.9716312056737588
